Inventory ID,Host name,Data gateway,MAC address,Encryption,UUID,Serial number,Connectivity reachability check,Syslog format,Product type,Device Type,Credential Profile,Admin State,Connectivity Type,Connectivity IP,Connectivity port,Connectivity timeout,Connectivity encoding,SNMP disable trap check,Tags,Software type,Software version,Product family,Product series,Manufacturer,Longitude,Latitude,Altitude,Building,Street,City,State,Country,Region,Zip,ISIS system ID,OSPF router ID,TE router ID,IPv6 router ID,Router loopback,Vrf,Source interface ,Capability,Provider name,Provider type,Provider node Id,Architecture,Cli cache enabled,Opt out MDT config
,PE.21,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.21/18;198.18.130.21/18;198.18.130.21/18;198.18.130.21/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0021,,1.1.1.21,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,PE.22,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.22/18;198.18.130.22/18;198.18.130.22/18;198.18.130.22/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0022,,1.1.1.22,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,PE.23,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.23/18;198.18.130.23/18;198.18.130.23/18;198.18.130.23/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0023,,1.1.1.23,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,PE.24,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.24/18;198.18.130.24/18;198.18.130.24/18;198.18.130.24/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0024,,1.1.1.24,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,CORE.101,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.101/18;198.18.130.101/18;198.18.130.101/18;198.18.130.101/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0101,,1.1.1.101,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,CORE.102,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.102/18;198.18.130.102/18;198.18.130.102/18;198.18.130.102/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0102,,1.1.1.102,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,CORE.103,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.103/18;198.18.130.103/18;198.18.130.103/18;198.18.130.103/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0103,,1.1.1.103,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
,CORE.104,,,,,,REACH_CHECK_ENABLE,RFC_5424,,NODE_TYPE_ROUTER,rbb_lab,DOWN,NETCONF;SNMP;SSH;GNMI,198.18.130.104/18;198.18.130.104/18;198.18.130.104/18;198.18.130.104/18,830;161;22;57400,30;30;30;31,;;;JSON,;false;;,ios-xr;gnmi;cli;snmp;reach-check;te-tunnel-id;clock-drift-check;mdt,,,,,,,,,,,,,,,,49.0011.0001.0000.0104,,1.1.1.104,,,Mgmt-intf,,SNMP;GNMI;YANG_CLI;YANG_MDT,nso,ROBOT_PROVIDER_NSO,,undefined,undefined,FALSE
